Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
"Comparison between seasonal pumped-storage and conventional reservoir dams from the water, energy and land nexus perspective","Hunt, J.D.; Byers, E.; Riahi, K.; Langan, S.","Renewable sources of energy are providing an increasing share of the electricity generation mix, but their intermittency drives a need for energy storage. At the same time, water resources are increasingly scarce due to changes in demand, such as from population growth, supply side pressures such as climate change and governance challenges relating to poor management. Large storage reservoirs are used for water management and for energy storage. However, some existing and proposed hydropower reservoirs require vast areas of land and have considerable social and environmental impacts. Growing concerns on water and energy storage from a water-energy-land nexus approach motivated this study. Our objective is to compare how energy and water storage services, such as hydropower generation, electricity grid and water management, are provided with Seasonal Pumped-Storage (SPS) and Conventional Reservoir Dams (CRD) plants. Our case study region is Brazil, a country with extensive hydropower capacity and development plans, for which we compare the cost, land requirement and social impacts between CRD and potential SPS plants. Whilst seasonal pumped-storage have higher capital costs than conventional reservoir dams, given the much lower land requirements and evaporative losses, they are a valuable water and energy storage alternative especially in locations with plain topography and high evaporation. Results show that if Sobradinho CRD was built today it would result in a $USD 1.46 billion loss, on the other hand, Muquém SPS plant would result in a $USD 0.67b revenue. © 2018 Elsevier Ltd",2018,,Energy Convers. Manage.,166,,385-401,,10.1016/j.enconman.2018.04.044,,#456,Hunt 2018,"",""
Governing food and agriculture in a warming world,"Newell, P.; Taylor, O.; Touni, C.","Understanding how, why, and whether the trade-offs and tensions around simultaneous implementation of the Sustainable Development Goals are resolved both sustainably and equitably requires an appreciation of power relations across multiple scales of governance. We explore the politics and political economy of how the nexus around food, energy, and water is being governed through initiatives to promote climate-smart agriculture (CSA) as it moves from the global to the local. We combine an analysis of how these interrelationships are being governed (and ungoverned) by key global institutions with reflection on the consequences of this for developing countries that are being targeted by CSA initiatives. In particular, we look at Kenya as a country heavily dependent on agriculture, but also subject to some of the worst effects of climate change and which has been a focus for a range of bilateral and multilateral donors with their preferred visions of CSA. We draw on strands of literature in global environmental politics, political ecology, and the political economy of development to make sense of the power dynamics that characterize the multiscalar politics of how CSA is translated, domesticated, and operationalized in practice. © 2018 by the Massachusetts Institute of Technology.",2018,,Global Environ. Polit.,18,2,53-71,,10.1162/glep_a_00456,,#460,Newell 2018,"",""
From state to system: Financialization and the water-energy-food-climate nexus,"Schmidt, J.J.; Matthews, N.","The water-energy-food-climate nexus has risen rapidly in global water governance over the past decade. This article examines the role of global financial networks in articulating the nexus and in connecting it to sustainability programs. It provides new insights into critical engagements with the nexus that, to date, have focused predominantly on water security and governance. The article examines how global financial networks conceptualized and concretized the nexus towards two ends: First, the nexus was used to effect the transition from state-oriented development models to financialized approaches of water development and sustainability. Here, the nexus was formulated in critique of, and as a solution to, the previously dominant approach to water development: integrated water resources management (IWRM). Second, the nexus was deployed to connect water, energy, food, and climate to the global economy in terms of complex systems. The identification of risks to the resilience of environmental and economic systems provided a new form of integration across the supply chains affected by the governance and security of water, energy, food, and climate. In both cases, the nexus mobilizes technologies of global finance, such as credit-risk ratings, to construct and defend new strategies for governing water security and to enable sub-sovereign actors, such as municipalities, to be incorporated into the global economy. The paper concludes that alignments of the nexus with sustainability programs, and the Sustainable Development Goals, must be reconsidered in view of the constraints posed by financial orientations towards the risks and resilience of economic and environmental systems. © 2018 Elsevier Ltd",2018,,Geoforum,91,,151-159,,10.1016/j.geoforum.2018.03.001,,#461,Schmidt 2018,"",""
In search of a (WEF) nexus approach,"Harwood, S.A.","The water, food and energy (WEF) nexus is viewed as a fresh way of thinking about related issues. This has resulted in calls for a WEF nexus approach which is systemic, can handle its associated complexity, ambiguity and vagueness, as well as the multiple stakeholders, each with their respective viewpoint, and the implied governance implications. In response, the Cybernetic Methodology, a Problem Structuring Method, is offered as an approach to frame these issues. This permits the concept of WEF nexus to be examined and associated governance issues to be modelled, acknowledging the multi-level nature of governance, in particular, the need for co-ordination. This is illustrated drawing upon examples from the Mekong River Basin. It is concluded that this approach not only offers the capability of handing the situation relating to WEF nexus, but that its emphasis upon action and closure enhances collaborative engagement by its disparate participants. © 2018",2018,,Environ. Sci. Policy,83,,79-85,,10.1016/j.envsci.2018.01.020,,#462,Harwood 2018,"",""
Governance of water-energy-food nexus: A social network analysis approach to understanding agency behaviour,"Kurian, M.; Portney, K.E.; Rappold, G.; Hannibal, B.; Gebrechorkos, S.H.","Research seeks to treat each resource embedded in the nexus as connected to the other resources. This approach is unique from other natural resource research agendas where the primary focus is on system efficiencies or examinations of a single resource. The nexus by emphasizing trade-offs places a premium on coordination. From a governance perspective coordination is not limited to decisions involving finances and allocation of trained human resources among different agencies orga nized both vertically and horizontally within a multi-level governance framework. Coordination could also be extended to include uses of data between public agencies, private sector and individuals. Due to nexus interconnectivity, we suggest here that social network analysis (SNA) is an appropriate tool that can divulge and highlight the relational complexities that exist within the nexus and among stakeholders that work with the singular elements of the nexus. We suggest that in the cases of organi sations with a high institutional capacity by means of expertise, resources, and other assets, the Water-Energy-Food (WEF) network will be highly connected between resource areas in the overall network. Two network tie characteristics-density and centrality-are particularly important to understand a critical mass of interests within a multi-level governance framework. The paper concludes by arguing for the organi sation of data covering different dimensions of the Water-Energy-Food nexus through the mechanism of an observatory that could potentially improve our understanding of thresholds of environmental resource use and the incentives required for public agencies to act in support of sustainable development. © United Nations University Institute for Integrated Management of Material Fluxes and of Resources (UNU-FLORES) 2018. All rights are reserved.",2018,,"Manag. Water, Soil and Waste Res. to Achiev. Sustain. Dev. Goals: Monit. and Implement. of Integr. Res. Manag.",,,125-147,,10.1007/978-3-319-75163-4_6,,#465,Kurian 2018,"",""
Games for aiding stakeholder deliberation on nexus policy issues,"Mochizuki, J.; Magnuszewski, P.; Linnerooth-Bayer, J.","Games can provide an effective and replicable space in which stakehold ers learn skills necessary for deliberative and pluralist policymaking. These skills are especially important for ""nexus"" policy issues that are typically characterised by mul tiple, competing problem frames involving overlapping networks of stakeholders. In this position paper, we describe three serious games that serve as a space for players (stakeholders) and researchers to jointly explore alternative solutions to complex resource management issues: The Water-Food-Energy Nexus Game (Nexus Game); the Narubu Game of Many Voices (Narubu Game); and the Forest Governance Game (Forest Game). The games contain instructive and reflexive mechanisms that prompt players to self-discover common challenges associated with complex nexus issues, including conflicting institutional mandates, social dilemmas, contending world views, and plural interpretations of science. © United Nations University Institute for Integrated Management of Material Fluxes and of Resources (UNU-FLORES) 2018. All rights are reserved.",2018,,"Manag. Water, Soil and Waste Res. to Achiev. Sustain. Dev. Goals: Monit. and Implement. of Integr. Res. Manag.",,,93-124,,10.1007/978-3-319-75163-4_5,,#466,Mochizuki 2018,"",""
"System Properties Determine Food Security and Biodiversity Outcomes at Landscape Scale: A Case Study from West Flores, Indonesia","Collier, N.F.; Sayer, J.; Boedhihartono, A.K.; Hanspach, J.; Abson, D.; Fischer, J.","The food-biodiversity nexus is a concept that defines and characterizes the complex interactions between agricultural systems and biodiversity conservation. Here we use a social-ecological systems approach that combines fuzzy cognitive mapping and graph theoretic analyses to uncover system properties that determine food security and biodiversity outcomes at a landscape scale. We studied a rice-based agricultural landscape system situated in Mbeliling district of West Flores, Indonesia. A graphical representation of the Mbeliling district food-biodiversity nexus was created by local experts. The representation revealed system properties that help reconcile the trade-offs between food security and biodiversity conservation. The graph represented a diverse set of food security and biodiversity nodes, and showed that there is not a simple dichotomy between ‘production and protection’. The analysis captured greater complexity than popular academic concepts such as land sparing–land sharing or sustainable intensification. Three major themes emerged from the graph. We found distinct clusters of factors influencing biodiversity and food security. We named these sources of influence (1) Modernisation and sustainable farming; (2) Knowledge and management; and (3) Governance and processes. Component 2 was the most representative of emergent system properties that contribute positively to managing a sustainable food-biodiversity nexus in the Mbeliling landscape. The key determinants of outcomes were: improving agronomic practices, diversifying production, maintaining forest cover and connectivity, and using knowledge and natural resource management processes to mitigate the main drivers of change. Our approach highlights the complexities in the food-biodiversity nexus, and could have wide application in other locations. © 2018 by the authors. Licensee MDPI, Basel, Switzerland.",2018,,Land,7,1,,,10.3390/land7010039,,#470,Collier 2018,"",""
Considering Resources Beyond Water: Irrigation and Drainage Management in the Context of the Water–Energy–Food Nexus,"Avellán, T.; Ardakanian, R.; Perret, S.R.; Ragab, R.; Vlotman, W.; Zainal, H.; Im, S.; Gany, H.A.","While the world is facing unprecedented transitions and threats we need to deeply rethink the relationships between water and energy use, food production, and ecosystem protection. This includes the development and deployment of ambitious, out-of-the-box solutions towards sustainable development. This paper is based upon recent discussions before and during the 2nd World Irrigation Forum in Chiang Mai, Thailand. This paper takes stock of current knowledge and analyses the most recent trends in water, irrigation and the environment. It discusses the requirements for strategic approaches and the contributions of irrigation and drainage to Sustainable Development Goals. Firstly, we concentrated on renewed and more balanced relationships between water, energy, food and ecosystems in the context of irrigation and drainage management. Secondly, we assessed the positive and negative impact of agricultural water use in order to demonstrate and improve its performance. Given exacerbated competition and water resource scarcity, a better understanding of the positive effects and valuable ecosystem services provided by irrigation and drainage systems could pave the way to maximizing benefits and safeguarding the environment. Lastly, we tried to address the role of stakeholders in irrigation governance. This includes active contribution to policy-making and planning, incentives, and most importantly, capacity development. Copyright © 2017 John Wiley & Sons, Ltd. Copyright © 2017 John Wiley & Sons, Ltd.",2018,,Irrig. Drain.,67,1,12-21,,10.1002/ird.2154,,#475,Avellán 2018,"",""
The multipurpose water uses of hydropower reservoirs: The SHARE concept ,"Branche, E.","The production and use of energy and the capture and use of water are vital to the economy and the health and welfare of all nations, and the wise stewardship of these resources is essential to the protection of the environment. A framework was led by EDF to address the multipurpose water uses of hydropower reservoirs issue. This innovative approach with all stakeholders addresses the following issues: (i) How to minimize contradictions/competition among multipurpose water uses of hydropower reservoirs; and (ii) How to set an appropriate governance to allow coordinated/ integrated water uses management (in terms of strategy, planning, decision-making and operation). This process was conducted under a participative multi-stakeholder approach with Governments, Banks, NGOs, international organisations, hydropower utilities, and other sectors. Multipurpose hydropower reservoirs are designed and/or operated to provide services beyond electricity generation, such as water supply, flood and drought management, irrigation, navigation, fisheries, environmental services and recreational activities, etc. While these objectives (renewable and power services, water quantity management, ecosystem services, economic growth and local livelihoods) can conflict at times, they are also often complementary. Although there are no universal solutions, there are principles that can be shared and adapted to local contexts. Indeed the development and/or operation of such multipurpose hydropower reservoirs to reach sustainable water management should rely on the following principles: Shared vision, Shared resource, Shared responsibilities, Shared rights and risks, Shared costs and benefits. These principles and acknowledgement of joint sharing among all the stakeholders are essential to successful development and management of multipurpose hydropower reservoirs, and should frame all phases from early stage to operation. The SHARE concept also gives guidance. Based on 12 worldwide case studies of multipurpose hydropower reservoirs, the SHARE concept was developed and proposed as a solution to address this issue. A special focus will be presented on the Durance-Verdon Rivers in France. © 2018 ICOLD/CIGB, Paris, France.",2018,,Int. Congr. Large Dams,,,134-150,,,,#488,Branche 2018,Aliny Pires (2023-05-07 13:14:41)(Screen): I don't think we can use this paper in our review but it seems interesting to contribute to nexus governance; ,""
"Applying the water-energy-food nexus to farm profitability in the middle breede catchment, South Africa","Seeliger, L.; De Clercq, W.P.; Hoffmann, W.; Cullis, J.D.S.; Horn, A.M.; De Witt, M.","The water-energy-food nexus has emerged as a useful concept to understand the multiple interdependencies that exist between the water, energy and food sectors. The nexus is an ambitious attempt to work across disciplines and scales to understand the workings of these complex systems. It is, however, criticised for being more of a general framework than a practical methodology because of the vast amount of data it would need to make real-life contributions to sustainable development. We show how the nexus approach, when used within a farm budget model, can transform the problem focus in water governance. By changing the relationship among water, energy and food production of a farm, profitability is significantly changed. The water-energy-food nexus debate is discussed within the context of the South African water sector, particularly the Breede River Catchment. Working from within the farm budget model, we demonstrate the impact of moving from an irrigation canal system that requires electricity for pumping, to a gravity-fed piped irrigation system in the Middle Breede River. The finding is that the water-energy-food nexus has the potential to unlock groundbreaking solutions to complex problems in agricultural water management when used in appropriate modelling systems. Significance: • The water-energy-food nexus approach can lead to an entirely new framing of water governance problems and therefore solutions to these problems. • The water-energy-food nexus when used in farm budget models can identify ways of altering farm profitability. • By addressing the energy cost of farming through an irrigation pipeline system in parts of the Breede Catchment Area, farm profitability could significantly increase. • A gravity-fed closed pipeline system in parts of the Breede River can improve water availability and reduce farm and management costs. © 2018. The Author(s).",2018,,S. Afr. J. Sci.,114,11-12,,,10.17159/sajs.2018/5062,,#491,Seeliger 2018,"Aliny Pires (2023-03-20 19:32:38)(Screen): It sounds interesting, using nexus concept in a specific context and water as an entry point.; ",""
"Cities and “budget-based” management of the energy-water-climate nexus: Case studies in transportation policy, infrastructure systems, and urban utility risk management","Sperling, J.B.; Ramaswami, A.","This article reviews city case studies to inform a framework for developing urban infrastructure design standards and policy instruments that together aim to pursue energy efficiency and greenhouse gas mitigation through city carbon budgets and water use efficiency and climate risk adaptation through city water budgets. This article also proposes combining carbon and water budgeting at the city-scale for achieving successful coupled city carbon and water budget (CCCWB) programs. Under a CCCWB program, key actors including local governments, infrastructure designers/operators, and households would be assigned a GHG emissions and water “budget” and be required by state or federal levels to keep within this budget through the use of flexibility mechanisms, incentive programs, and sanctions. Multiple incentives and cross-scale governance arrangements would be tied to energy-water systems integration, resource-efficient transportation and infrastructure development, and effective monitoring and management of energy use, emissions, climate risks to, and security of energy-water-transport-food and other critical systems. As a first step to promote strategies for CCCWB development, we systematically review approaches of and shortcomings to existing budget-based programs in the UK and US, and suggest improvements in three areas: measurement, modeling effectiveness of interventions for staying within a budget, and governance. To date, the majority of climate action or sustainability plans by cities, while mentioning climate impacts as a premise for the plan, do not address these impacts in the plan. They focus primarily on GHG mitigation while ignoring resource depletion challenges and energy-climate-water linkages, whereby water supplies can begin to limit energy production and energy shifts to mitigate climate change can limit water availability. Coupled carbon-water budget plans, programs, and policies—described in this study- may address these concerns as well as the emerging trends that will exacerbate these problems—e.g., including population growth, climatic changes, and emerging policy choices that are not coordinated. Cities and “Budget-Based” Management of the Energy-Water-Climate Nexus: Case Studies to Inform Strategy for Integrated Performance- and Incentive-Based Design and Policy Instruments. © 2017 American Institute of Chemical Engineers Environ Prog, 37: 91–107, 2018. © 2017 American Institute of Chemical Engineers Environ Prog.",2018,,Environ Prog Sustainable Energy,37,1,91-107,,10.1002/ep.12765,,#498,Sperling 2018,"",""
Women's agency in water governance: Lessons from the water and health nexus in Armenia and Ukraine,"Bouman-Dentener, A.M.","Water security is a global challenge and a collective responsibility for all humanity. The way in which people are affected by or impact on water availability, quality and management is quite heterogeneous; and it has a distinct gender dimension. Social relations between women and men result in gendered roles that vary between social strata, cultures, ethnicities and generations. In traditional societies women are often the water seekers and carriers, while their involvement in decision-making is limited. This article focuses on women's agency for sustainable use and management of water resources. It provides examples from Armenia and Ukraine demonstrating women's civil society contributions to the development and implementation of the Protocol on Water and Health. It shows how women's meaningful participation has made a difference, and sheds light on the preconditions for meaningful involvement of women's civil society in processes of water cooperation and participatory water governance.",2017,,Sustentabilidade Debate,8,3,64-74,,10.18472/SustDeb.v8n3.2017.26587,,#501,Bouman-Dentener 2017,"",""
Rethinking water governance: Moving beyond water-centric perspectives in a connected and changing world,"de Loë, R.C.; Patterson, J.J.","From the “water-centric” perspective that is common within the world’s large and diverse water community, water is of central importance, and improving water governance is self-evidently essential. Some water problems can be addressed using water centric approaches such as watershed management. Unfortunately, evidence is mounting that suggests that many other water problems cannot because their causes and drivers, at scales from local to global, are partly or wholly external to those traditionally considered within the water sector. Water governance in these cases needs to better account for a range of external connections that strongly influence water-related outcomes of concern and contribute to governance failures. These connections frequently manifest through external actors, drivers, and institutions. We address this issue by critically reflecting on the limitations of water-centric perspectives; surveying the water governance literature to identify external connections that can influence water governance; examining the extent to which four major approaches address actors, drivers, and institutions that connect water governance to other sectors and decision making situations (Integrated Water Resources Management, water security, water-energy-food nexus, water resilience); and considering key conceptual and practical challenges of moving beyond water-centric approaches where this is warranted. Building on emerging thinking within the water community, we propose that key open questions requiring urgent attention relate to reconciling water-centric and non-water centric approaches, thinking critically about boundary judgments, and re-thinking conceptual and practical approaches to water governance to better account for external connections. The article contributes to emerging conversations about the future of water governance in an increasingly complex, connected and rapidly changing world. © 2017, University of New Mexico. All rights reserved.",2017,,Nat. Resour. J.,57,1,75-99,,,,#504,deLoë 2017,Aliny Pires (2023-03-20 19:42:40)(Screen): Focused on water but trying to establish important connections in the nexus perspective...; ,""
The water-energy-food nexus: An integration agenda and implications for urban governance,"Artioli, F.; Acuto, M.; McArthur, J.","The water-energy-food nexus has achieved considerable prominence across academic research and policy sectors. The nexus sets an imperative for integrated management and policymaking, centring on the potential trade-offs and complementarities between interdependent water, energy and food systems. Applications of the nexus focus largely on technical or managerial solutions and calls to acknowledge the political dimension of nexus interdependencies have implications for governance at the urban scale. This paper aims to ‘urbanise' the nexus agenda and consider the implications of policy integration for urban governance. This examines the nexus in the context of current approaches to urban governance and power relations shaping the provision of water, energy and food in urban areas. Urban infrastructure networks underpin these resource systems and related management systems, although their management tends to operate in silos, with little joint decision-making and planning. Three hypotheses about the interplay between integrative policy framings and urban governance are explored to reconcile integrative policy framings at the urban scale: the appropriation of the nexus narrative by urban governments; re-establishment of political power through integrated management, and implementation of the nexus through smart city approaches. These hypotheses progress the political dimension of the nexus debate and reflect on the role of urban governance in addressing global challenges. © 2017 Elsevier Ltd",2017,,Polit. Geogr.,61,,215-223,,10.1016/j.polgeo.2017.08.009,,#508,Artioli 2017,"",""
Examining the food–energy–water and conflict nexus,"Abbott, M.; Bazilian, M.; Egel, D.; Willis, H.H.","There is growing evidence of a strong linkage or ‘nexus’ between conflict — both domestic and international — and food, energy, and water (FEW) resources and services. This article demonstrates a positive, significant correlation between two measures, FEW security and political stability, and reviews the evidence for how each of these three types of resource insecurities affects political and social stability. We describe what is known about the FEW-conflict nexus itself, note that remaining knowledge gaps include evidence on developing governance structures and preparing for climate change, and examine the types of policies that countries and international donors might take to help mitigate the role that FEW can play in affecting stability. © 2017 Elsevier Ltd",2017,,Curr. Opin. Chem. Eng.,18,,55-60,,10.1016/j.coche.2017.10.002,,#510,Abbott 2017,"",""
Opportunities for knowledge co-production across the energy-food-water nexus: Making interdisciplinary approaches work for better climate decision making,"Howarth, C.; Monasterolo, I.","The relationship between the energy-food-water nexus and the climate is non-linear, multi-sectoral and time sensitive, incorporating aspects of complexity and risk in climate related decision-making. Current methods of analysis were not built to represent such a complex system and are insufficiently equipped to capture and understand positive and negative externalities generated by the interactions among different stakeholders involved in the energy-food-water nexus. Potential amplification effects, time delays and path dependency of climate policies are also inadequately represented. This paper seeks to explore how knowledge co-production can help identify opportunities for building more effective, sustainable, inclusive and legitimate decision making processes on climate change. This would enable more resilient responses to climate risks impacting the nexus while increasing transparency, communication and trust among key actors. We do so by proposing the operationalization of an interdisciplinary approach of analysis applying the novel methodology developed in Howarth and Monasterolo (2016). Through a bottom-up, participative approach, we present results of five themed workshops organized in the UK (focusing on: shocks and hazards, infrastructure, local economy, governance and governments, finance and insurance) featuring 78 stakeholders from academia, government and industry. We present participant's perceptions of opportunities that can emerge from climate and weather shocks across the energy-food-water nexus. We explore opportunities offered by the development and deployment of a transdisciplinary approach of analysis within the nexus boundaries and we analyse their implications. Our analysis contributes to the current debate on how to shape global and local responses to climate change by reflecting on lessons learnt and best practice from cross-stakeholder and cross-sectorial engagement. In so doing, it helps inform a new generation of complex systems models to analyse climate change impact on the food-water-energy nexus © 2017 The Authors",2017,,Environ. Sci. Policy,75,,103-110,,10.1016/j.envsci.2017.05.019,,#517,Howarth 2017,"",""
Closing the governance gaps in the water-energy-food nexus: Insights from integrative governance,"Weitz, N.; Strambo, C.; Kemp-Benedict, E.; Nilsson, M.","The water-energy-food nexus has become a popular concept in environmental change research and policy debates. Proponents suggest that a nexus approach promotes policy coherence through identifying optimal policy mixes and governance arrangements across the water, energy and food sectors. Although the nexus literature identifies some barriers to achieving coherence it does not clearly explain why the barriers are present, what influences them, and how they can be acted upon. These gaps disconnect the nexus literature from the governance processes it ultimately seeks to influence. This paper examines how the integrative environmental governance literature can help to close these gaps. It extracts insights from seven streams of research literature and discusses their relevance for the nexus literature. We argue that connecting the nexus to decision-making processes requires: i) rethinking the boundaries of nexus analysis vis-à-vis other sectors and levels; ii) elaboration of shared principles that can guide decision-making towards policy coherence − or an appropriate form of fragmentation − in different contexts; iii) viewing policy coherence as a continuous process of changing values and perception rather than as an outcome. © 2017 The Authors",2017,,Global Environ. Change,45,,165-173,,10.1016/j.gloenvcha.2017.06.006,,#520,Weitz 2017,"",""
"Regulating the water-energy-food nexus: Interdependencies, transaction costs and procedural justice","Larcom, S.; van Gevelt, T.","There have been calls for an overhaul of regulatory and governance frameworks to incorporate the implications of the water-energy-food nexus. We map one small component of the regulatory space of the nexus and highlight its immense complexity. We draw on insights from the economics and socio-legal literatures to show that a decentralised approach to regulation based upon procedural justice can enable the trade-offs of the nexus to be considered and addressed. We use a nexus case study of micro hydro-electricity generation in Dartmoor National Park in England to show that when we take into account interactions between state and non-state regulation, the economic concepts of interdependencies and transaction costs, and a recognition that regulation of the nexus is a process involving decisions of procedural justice, some existing regulatory frameworks are already well-equipped to deal with the implications of nexus analysis. © 2017 The Authors",2017,,Environ. Sci. Policy,72,,55-64,,10.1016/j.envsci.2017.03.003,,#523,Larcom 2017,"",""
"Unfolding livelihood aspects of the Water–Energy–Food Nexus in the Dampalit Watershed, Philippines","Spiegelberg, M.; Baltazar, D.E.; Sarigumba, M.P.E.; Orencio, P.M.; Hoshino, S.; Hashimoto, S.; Taniguchi, M.; Endo, A.","Study region This study explores the connectivity of upland farmers and downstream fishers through interlinkages of water, energy and food within the Dampalit sub-watershed of Laguna Lake, Philippines. Study focus The aim of the study is to yield policy relevant results to improve the status of the water resources and food products and to reduce possible user conflicts. Surveying 176 households mainly in the mid- and downstream areas elements and interlinkages of the local Water-Energy-Food Nexus (WEF-Nexus) were identified by the five capitals of the sustainable livelihood approach through a socio-ecological network analysis. New hydrological insights for the region Besides the innovative methodology, this research adds to the underserved local perspective in the WEF-Nexus research. The survey shows different livelihood profiles for the two groups and a lack of direct social links between them in the WEF-Nexus context. Also indirect links through consumption of the other group's food products could not be identified. However, a large fraction of the population share the use of char coal for cooking, the Makiling groundwater for drinking and various household purposes and the Central Market in Los Banos for their food supply. © 2015 The Authors",2017,,J. Hydrol. Reg. Stud.,11,,53-68,,10.1016/j.ejrh.2015.10.009,,#524,Spiegelberg 2017,Aliny Pires (2023-05-02 06:22:54)(Screen): I would say yes but I think the manuscript contribution is more related to identify the role of actors more than a full perspective of governance. ; ,""
The intersection of food security and biodiversity conservation: a review,"Glamann, J.; Hanspach, J.; Abson, D.J.; Collier, N.; Fischer, J.","Food security and biodiversity conservation are key challenges of the twenty-first century. While traditionally these two challenges were addressed separately, recently, papers have begun to specifically address the nexus of food security and biodiversity conservation. We conducted a structured literature review of 91 papers addressing this nexus. To ascertain how a given paper approached the topic, we assessed to what extent it covered 68 potentially relevant issues. The resulting dataset was analyzed using cluster analysis. Two main branches of literature, containing a total of six clusters of papers, were identified. The “biophysical-technical” branch (clusters: “sustainable intensification” and “production focus”) was dominated by the natural sciences, focused strongly on the production aspect of food security, and sought general solutions. In contrast, the “social-political” branch (clusters: “social-ecological development”; “empowerment for food security”; “agroecology and food sovereignty”; and “social-ecological systems”) often drew on the social sciences and emphasized social relations and governance, alongside broader considerations of sustainability and human well-being. While the biophysical-technical branch was often global in focus, much of the social-political branch focused on specific localities. Two clusters of papers, one from each branch, stood out as being particularly broad in scope—namely the clusters on “sustainable intensification” and “agroecology and food sovereignty.” Despite major differences in their conceptual basis, we argue that exchange between these two research clusters could be particularly helpful in generating insights on the food–biodiversity nexus that are both generally applicable and sufficiently nuanced to capture key system-specific variables. © 2015, Springer-Verlag Berlin Heidelberg.",2017,,Reg. Environ. Change,17,5,1303-1313,,10.1007/s10113-015-0873-3,,#525,Glamann 2017,Aliny Pires (2023-03-20 19:21:41)(Screen): For the food-biodiversity interlinkages it seems to be a good review.; ,""
"Living with insecurity: Food security, resilience, and the world food programme (WFP)","O’Connor, D.; Boyle, P.; Ilcan, S.; Oliver, M.","As the world’s largest humanitarian organization fighting hunger, and primary expositor of food insecurity in sub-Saharan Africa, the World Food Programme’s (WFP) activities offer a unique opportunity to examine the contemporary food-security nexus. In this article, we examine the ‘turn’ toward resilience in the practices and policies of the WFP. Our analysis emphasizes that resilience is one of a family of security strategies through which the WFP seeks to govern food security. As such, it is impossible to claim, as some have, that resilience is displacing security as the dominant logic for governing insecurity. Nevertheless, resilience is a cornerstone of the WFPs’ current activities. Whereas more familiar strategies of security attempt to pre-empt or contain disruptive events-in the context of food crises-resilience is a style of thinking that assumes the inevitability of unpredictable, high-impact events and aims to foster the capability for systems and people to adapt, absorb, and bounce back from their effects. Resilience, while championed as part of an overall solution to a range of ills afflicting human populations today, aims only to equip people and populations with the capacity to live with the instabilities of a neoliberal food system without questioning, destabilizing, or resisting the very sources of socio-economic and political instability. © The Author(s) 2016.",2017,,Global Soc. Policy,17,1,3-20,,10.1177/1468018116658776,,#528,O’Connor 2017,"",""
"The water-energy-food nexus: Trade-offs, thresholds and transdisciplinary approaches to sustainable development","Kurian, M.",Global challenges have exacerbated a search for solutions to poverty and environmental degradation. Integration it was argued would help address the twin challenge. Integrated Water Resources Management (IWRM) was supposed to be that magic bullet and was embraced by scientists because of the clinical efficiency with which it argued for integrated analysis of sectors and resources and of systems and scale conditions. This paper argues that effective implementation of the Water-Energy-Food (WEF) Nexus can be supported by robust science. The corollary that robust science automatically leads to effective implementation is not always known to be true. The nexus approach sheds light on the challenges of implementation by introducing concepts of trade-offs and thresholds and consequently emphasizes the importance of transdisciplinary approaches to sustainable development. This paper reviews the results of recent research to offer tentative answers to the following questions: (a) Why is the governance dimension important to undertake an integrated analysis of water-energy-food challenges? (b) What does the nexus approach connote in normative and institutional terms? (c) What does implementation mean in nexus terms? (d) How can we establish if the nexus approach is an improvement over business as usual? and (e) What tools are available that would enable translation of results of scientific research to create an evidence base that would enable decision makers to act in support of sustainable development? © 2016 Elsevier Ltd,2017,,Environ. Sci. Policy,68,,97-106,,10.1016/j.envsci.2016.11.006,,#534,Kurian 2017,"",""
Urban Nexus: An Integrated Approach for the Implementation of the Sustainable Development Goals,"Storey, D.; Santucci, L.; Sinha, B.","Asia’s urbanization is unprecedented and this rapid transformation is having a profound impact on the region’s key natural resources, such as water, energy, and food/land. Urban nexus, an integrated framework focusing on the dynamic interaction of these three key sectors, addresses the gaps in linear resource use patterns and builds on the three pillars of sustainability. It aims to integrate systems, underpinned by policy coherence and collaborative governance, while redefining spatial relationships of cities with their surrounding areas and resources. Such an integrated approach to resource management can also play a key role in the implementation of the newly adopted sustainable development goals (SDGs), reducing potential trade-offs and strengthening synergies across goals and targets. A review of experiences in the region, and in particular three case studies (Nashik, Da Nang, and Shenzhen) highlight the enabling factors, mechanisms, and policies required to facilitate the adoption of an urban nexus approach. © 2017 the American Geophysical Union. All rights reserved.",2017,,Water-Energy-Food Nexus: Principles and Practices,,,43-54,,10.1002/9781119243175.ch5,,#536,Storey 2017,"",""
